sp008-000001_SR_01	sa mAtuH pArSvam prAptaH
sp008-002243_Yugavatara_03a	kintu SivarAjasya aparasya api muKasya paricayam prAptum kAlaH kaScana sannihitaH
sp008-002244_Yugavatara_03a	ekadA SivarAjaH kroDena jvAlAmuKI iva aBavat
sp008-002245_Yugavatara_03a	kAraRam evam AsIt puResamIpe rAYJyA nAmakaH kaScana grAmaH
sp008-002246_Yugavatara_03a	tatratyaH duzkarmI grAmapramuKaH kasyAScit viDavAstriyaH mAnaBaNgam kftavAn AsIt
sp008-002247_Yugavatara_03a	musalmAnarAjye tu ezaH sarvasADAraRaH vizayaH
sp008-002248_Yugavatara_03a	kadAcit etAdfSAni duzkftyAni daRqArhARi na
sp008-002249_Yugavatara_03a	api tu puraskArArhARi Bavanti sma api
sp008-002250_Yugavatara_03a	sarvam sultAnISElyA eva
sp008-002251_Yugavatara_03a	tenEva DEryeRa mama prazwA kaH iti BAvanAm prAptavAn AsIt saH grAmapramuKaH
sp008-002252_Yugavatara_03a	kintu SivarAjasya rAjye tat kaTam Sakyam
sp008-002253_Yugavatara_03b	SivarAjaH AjYAm kftavAn tasya banDanAya
sp008-002254_Yugavatara_03b	sEnikAH tam grAmam gatvA tam duzkarmiRam badDvA AnItavantaH
sp008-002255_Yugavatara_03b	nyAyasaBAyAm jIjAbAyI dAdAjiH peSavA purajanAH ca Asan
sp008-002256_Yugavatara_03b	te sarve niScalAH santaH paSyantaH Asan
sp008-002257_Yugavatara_03b	bAlarAjasya purataH mahASmaSrumataH prOQasya AropiRaH vicAraRam
sp008-002258_Yugavatara_03b	vicAraRena jYAtam yat saH aparADI iti
sp008-002259_Yugavatara_03b	caturdaSavarzIyaH SivarAjaH yasya SmaSrURi api na utpannAni tAdfSaH kIdfSam daRqanam kuryAt iti sarvezAm kutUhalam AsIt
sp008-002260_Yugavatara_03b	sarve utsukatayA tam paSyanti sma
sp008-002261_Yugavatara_03b	siMhAsanAt tIkzRavARyA daRqAjYA nirgatA aparADinaH pAdO hastO ca kartyantAm iti
sp008-002262_Yugavatara_03b	kzaRakAlam sarveऽpi stabDAH
sp008-002263_Yugavatara_03b	aho asya bAlakasya nyAyadaRqasya prahAraH kiyAn kaWoraH iti parasparam avadan te
sp008-002264_Yugavatara_03b	kintu tasya kaWoraSAsanasya pfzWataH gahanAyAH hindusaMskftyAH mAnabindoH rakzaRoddeSaH AsIt iti jAnantaH te tUzRIm atizWan
sp008-002265_Yugavatara_03b	strI hindoH dfzwyA mAtfsamAnA
sp008-002266_Yugavatara_03b	mAtftvam asyAH BUmyAH mAnabinduH
sp008-002267_Yugavatara_03b	svarAjye tasya viqambanA soQum na SakyA
sp008-002268_Yugavatara_03b	musalmAnarAjyasya svarAjyasya ca etat eva antaram
sp008-002269_Yugavatara_03b	janAH idAnIm avagacCantaH Asan SivarAjasya AdarSAH ke
sp008-002270_Yugavatara_03b	tasya svapnasAmrajyasya svarUpam kim iti
sp008-002271_Yugavatara_03b	etAdfSena ekEkenApi prasaNgena tezAm spazwatA aDikA jAtA
sp008-002272_Yugavatara_03b	tezAm hfdayam Anandena pulakitam sat SivarAjasya kalpanABiH BAvanABiH saha ca nftyam akarot
sp008-002273_Yugavatara_03b	tasmin eva samaye sahyAdreH girigahvarezu jaya jaya raGuvIra samarTa iti udGozaH pratiDvanitaH aBavat
sp008-002274_Yugavatara_03b	SivarAjasya kzAtratejasA saha rAmadAsasya brahmatejasaH melanam jAtam
sp008-002275_Yugavatara_03b	tasmAt sahyAdreH santateH Sivasya hfdayam divyaDyeyasya prakASena ujjvalam aBavat
sp008-002276_Yugavatara_03b	SivarAjasya svAtantryapremRA samarotsAhena ca saha rAmadAsasya tattvajYAnam api sammilitam aBavat
sp008-002277_Yugavatara_04	ezaH prapaYcaH miTyA na
sp008-002278_Yugavatara_04	ezaH lokaH eva asmAkam karmaBUmiH
sp008-002279_Yugavatara_04	atra yaH yaSasvI Bavati sa eva paramArTasya api aDikArI Bavitum arhati
sp008-002280_Yugavatara_04	prayatnaH eva parameSvaraH iti rAmadAsamahodayaH GozitavAn
sp008-002281_Yugavatara_04	gacCatA kAlena samarTarAmadAsasya maWAnAm BaktAnAm ca saNKyA aDikA aBavat
sp008-002282_Yugavatara_04	rAmadAsaH rAmotsavadvArA mArutipUjAdvArA ca kzAtraDarmasya AvAhanam kftavAn
sp008-002283_Yugavatara_04	svarAjyasya sAhAyyArTam grAme grAme maWAH sajjAH aBavan
sp008-002284_Yugavatara_04	DarmaH nimajjan asti uttizWantu
sp008-002285_Yugavatara_04	svarAjyasTApanAya avatAripuruzaH Agamizyati
sp008-002286_Yugavatara_04	tasya samarTanArTam uttizWantu iti SizyARAm dvArA boDayitvA samarTamahodayaH deSe sarvatra jAgaraRam AnItavAn
sp008-002287_Yugavatara_04	evam sTite mahAjIvinoH samarTarAmadAsaSivarAjayoH amarabAnDavyam kaTam vA na Gaweta
sp008-002288_Yugavatara_04	tataH AraBya tayoH kAryaSaktiH sammilitA satI prAvahat
sp008-002289_Yugavatara_04	tasmin eva kAle tukArAmamahodayasya BaktigItAni aBaNgAni Baktirasam sarvatra prasArayanti
sp008-002290_Yugavatara_04	janezu sAmudAyikaBakteH aByAsakAraRe sahAyakAni aBavan
sp008-002291_Yugavatara_04	etena saha mukteSvaramahodayasya kzAtraDarmasya boDanam api sammilitam aBavat
sp008-002292_Yugavatara_04	Ahatya etAvat vaktum Sakyate yat svarAjyasya kfte toraRabanDanasya SuBamuhUrtaH sannihitaH aBavat iti
sp008-002293_Yugavatara_04	svarAjyasya nAndI nAma BIkarapraSnasya sammuKIkaraRam eva
sp008-002294_Yugavatara_04	kASmIrataH kanyAkumArIparyantam prasftAni yavanasAmrAjyAni
sp008-002295_Yugavatara_04	tezAm pragAQA senASaktiH
sp008-002296_Yugavatara_04	asaNKyAkAni durgARi
sp008-002297_Yugavatara_04	vipulam ESvaryam
sp008-002298_Yugavatara_04	DarmAnDA matAnDA ca damanavfttiH
sp008-002299_Yugavatara_04	tasyAH purataH SiraH avanamayya SaraRam gatAH hinduvIrAH
sp008-002300_Yugavatara_04	dAsyena eva tfptim prApnuvatI tezAm manaHsTitiH ityAdIni bahUni Asan praSnacihnAni
sp008-002301_Yugavatara_04	yadi kaScit AkasmikarUpeRa svAtantrya Sabdam uccArayati tarhi tasya sahavartinaH eva tam nindanti sma
sp008-002302_Yugavatara_04	tAdfSAn mArayitum api sidDAH Bavanti sma
sp008-002303_Yugavatara_04	evam sTite etAdfSAn durGawAn dussADyAn praSnAn sammuKIkftya svarAjyasya nAndI kaTanam kim sAmAnyam kftyam
sp008-002304_Yugavatara_04	kintu nAndyAH muhUrtaH sannihitaH AsIt
sp008-002305_Yugavatara_04	viGnaBayena mOnam sTityarTam na saH ucitaH kAlaH
sp008-002306_Yugavatara_04	mInamezagaRanA A SatADikavarzeByaH pravfttA eva pravfttiH
sp008-002307_Yugavatara_04	kintu idAnIm Sivayugam ArabDam asti
sp008-002308_Yugavatara_04	parAjayasya nirASatAyAH vA DvaniH eva tatra na AsIt
sp008-002309_Yugavatara_04	itaHparam tu sAhasasya vijayasya ca SuBAramBaH
sp008-002310_Yugavatara_04	SivarAjasya netfttve asADyasADikAH navayuganirmAtryaH ca GawanAH pravarteran
sp008-002311_Yugavatara_04	tasya SuBAramBaH toraRadurgataH aBavat
sp008-002312_Yugavatara_04	rakzaRadfzwyA bijApureRa upekzitam toraRadurgam SivarAjaH svasya kiSorasEnyena saha zawcatvAriMSaduttarazoqaSatame varze AkrAntavAn
sp008-002313_Yugavatara_04	ekasyApi raktabindoH pAtanam akftvA durgam svADInam kftvA svarAjyasya toraRabanDanam kftavAn saH
sp008-002314_Yugavatara_04	tasya rAjamudrikAyAm ulliKitA pratipadaH candrasya leKA taddine uditA
sp008-002315_Yugavatara_04	EdamprATamyena hara hara mahAdeva iti svarAjyasya raRaGozaH toraRadurgasya muktagagane ninaditaH
sp008-002316_Yugavatara_04	saH eva garjanasvaraH SiKarAt SiKaram prati utplutya kramaSaH uttaradiSi gatvA
sp008-002317_Yugavatara_04	keByaScit daSakeByaH anantaram vinDyAdrO pratiDvanitaH BUtvA dehalyAH siMhAsanasya nyaYcanam kftvA
sp008-002318_Yugavatara_04	sinDuyamunAdizu taraNgAn utpAdayan ante vAyuvyasImAyAm sTitAH parvataSreRIH aGawwayat
sp008-002319_Yugavatara_04	kIdfSaH mahAn maNgalaGozaH saH
sp008-002320_Yugavatara_04	tadAraBya toraRadurgasyopari BagavadDvajaH qayanam ArabDavAn
sp008-002321_Yugavatara_04	durgasya samIkaraRasamaye DanapUrRAH kumBAH niDirUpeRa prAptAH
sp008-002322_Yugavatara_04	svarAjyadevatAyE mahAlakzmyAH praTamam upAyanam etat
sp008-002323_Yugavatara_04	kintu niDeH darSanena kasyApi mAvaLI bAlasya manasi tasya svIkaraRecCA na utpannA
sp008-002324_Yugavatara_04	tAdfSI kalpanA api asahanIyA AsIt tezAm dfzwyA
sp008-002325_Yugavatara_04	tadDanam ISvarasya
sp008-002326_Yugavatara_04	ISvarIyakAryArTameva tasya upayogaH syAt
sp008-002327_Yugavatara_04	asmaByam SuzkA rowikA nadIjalam vfkzacCAyA SivarAjasya sahavAsaH ca paryAptaH iti tezAm cintanam AsIt
sp008-002328_Yugavatara_04	tezu dinezu durgARAm atyantam mahattvapUrRam sTAnam AsIt
sp008-002329_Yugavatara_04	durgezu eva rAjaDAnI sEnikAH AhAravastUni rAjyakozASca Bavanti sma
sp008-002330_Yugavatara_04	durgasya balam avalambya paritaH vidyamAnAnAm janAnAm jIvanam sucArurUpeRa pracalati sma
sp008-002331_Yugavatara_04	rAjyasya niyantraRam durgAt eva pracalati sma
sp008-002332_Yugavatara_04	ataH toraRadurgAt ArabDAyAm svarAjyasya vijayamAlAyAm SivarAjaH ekEkaSaH durgARi gumPan AsIt
sp008-002333_Yugavatara_05a	evam toraRena prAptasya navasAhasasya sPuraRena hastagatezu durgezu ekam durgam agre svarAjyasya rAjaDAnI aBavat
sp008-002334_Yugavatara_05a	tadeva rAyagaqa ityAKyam rAjadurgam
sp008-002335_Yugavatara_05a	SivarAjasya viplavasya vArtA bijApureRa jYAtA
sp008-002336_Yugavatara_05a	tasyAH vArtAyAH prApaRasya SreyaH api marAWajanAnAm eva
sp008-002337_Yugavatara_05a	A sahasravarzeByaH hindurAzwram pIqayan sTitaH svAtantryasya prARaharaRam kurvARaH
sp008-002338_Yugavatara_05a	sarvezAm svAtantryayoDAnAm prayatnAn DUlisAt kurvARaH mahASApaH saH
sp008-002339_Yugavatara_05a	saH SApaH atrApi svasya vizapraBAvam prAdarSayat
sp008-002340_Yugavatara_05a	kramaSaH mAvaLaparisarasTAH deSapARqedeSamuKAH nUtanAya svarAjyAya karasya arpaRam ArabDavantaH
sp008-002341_Yugavatara_05a	etAdfSyaH vArtAH bijApurasya cakravartinaH karRapaTam AgacCanti sma
sp008-002342_Yugavatara_05a	yasya muKe SmaSrUtpattiH api na aBavat
sp008-002343_Yugavatara_05a	tAdfSasya bAlasya vizaye AtaNkaprakawanasya mUrKatAm kartum saH na izwavAn
sp008-002344_Yugavatara_05a	cawakasyopari brahmAstraprayogaH kimarTam
sp008-002345_Yugavatara_05a	acirAt eva tasya maraRam niScitam iti tasya cintanam AsIt
sp008-002346_Yugavatara_05a	kintu punaH punaH mAvaLasya amIn bijApuram prati aBiyAcanAm kurvan AsIt
sp008-002347_Yugavatara_05a	tasya uttararUpeRa cakravartI sarveByaH deSapARqe deSamuKeByaH aDisUcanAm prezitavAn
sp008-002348_Yugavatara_05a	SivarAjaH vidroham Acaran durgARi vaSIkftavAn iti vArtA AgatA asti
sp008-002349_Yugavatara_05a	BavatpradeSasya kecana deSamuKAH karam tasmE arpayantaH santi ityapi SrUyate
sp008-002350_Yugavatara_05a	itaHparam vA BavantaH bijApurasiMhAsanam prati nizWAm pradarSayantu
sp008-002351_Yugavatara_05a	no cet Bavantam rAjAsTAnam prati AnAyya SiraSCedanam kArayizyate iti
sp008-002352_Yugavatara_05a	SivarAjasya mitrezu dAdAjinarasapraBudeSapARqenAmakaH kaScit AsIt
sp008-002353_Yugavatara_05a	tasya pitrA api ezA sUcanA prAptA
sp008-002354_Yugavatara_05a	tat paWitvA vfdDaH saH cintayA asvasTaH aBavat
sp008-002355_Yugavatara_05a	vidrohI kIdfSIm durgatim prApnuyAt
sp008-002356_Yugavatara_05a	tena kIdfSam durmaraRam sammuKIkaraRIyam syAt iti saH samyak jAnAti sma
sp008-002357_Yugavatara_05a	ataH saH tataH palAyanam kftvA kutracit rahasi sTitavAn
sp008-002358_Yugavatara_05a	tAdfSI sUcanA prAptA ityataH putraH kiYcidapi vicalitaH na aBavat
sp008-002359_Yugavatara_05a	saH pravfttam sarvam saMsUcya SivarAjAya patram liKitavAn
sp008-002360_Yugavatara_05a	tasya uttaram SivarAjaH sPUrtidAyakapatrarUpeRa dAdAjikfte prezitavAn
sp008-002361_Yugavatara_05a	kiSorasya SivarAjasya vicAraSudDatAyAH rAjocitagAmBIryasya ca sAkzyarUpeRa asti tat patram
sp008-002362_Yugavatara_05b	patrasya sAraH tu ayam asmABiH vidrohaH kriyamARaH asti iti vicAre satyAMSaH nAsti
sp008-002363_Yugavatara_05b	rohireSvarasya kfpayA adyaparyantam api asmABiH yaSaH prAptam asti
sp008-002364_Yugavatara_05b	itaH param api hindurAjyasya manoraTam saH eva pUrayizyati
sp008-002365_Yugavatara_05b	rohireSvarasya sammuKe vayam pratijYAbadDAH smaH
sp008-002366_Yugavatara_05b	etasya rAjyasya nirmARam Bavatu iti BagavAn api icCati
sp008-002367_Yugavatara_05b	pitre DEryavacanAni vadatu iti
sp008-002368_Yugavatara_05b	tat patram paWitvA narasapraBoH pitA api manaHsTEryam prAptavAn
sp008-002369_Yugavatara_05b	zoqaSe vayasi SivarAjena BagavatpreraRayA AtmaviSvAsena vijayaviSvAsena ca pUrRasya tasya patrasya
sp008-002370_Yugavatara_05b	ekEkA paNktiH api itihAse ajarAmaratayA sTAsyati ityatra nAsti sandehaH
sp008-002371_Yugavatara_05b	tezu eva dinezu paramavfdDaH dAdAjikoRqadevaH asvasTaH san SayyAm ASritavAn
sp008-002372_Yugavatara_05b	tasya antimAH kzaRAH sannihitAH Asan
sp008-002373_Yugavatara_05b	saH kimapi vaktukAmaH muKam udGAwitavAn
sp008-002374_Yugavatara_05b	kintu SabdAH na nirgatAH
sp008-002375_Yugavatara_05b	SivarAjaH tasya samIpam gatvA svakarRam tasya muKasya samIpam nItvA SrutavAn
sp008-002376_Yugavatara_05b	tasya BIzma pitAmahasya antimaH udgAraH AsIt rakzatu rakzatu iti
sp008-002377_Yugavatara_05b	svarAjyasya vizaye prayuktAH SabdAH te
sp008-002378_Yugavatara_05b	SizyAya guroH antimasandeSaH AsIt saH
sp008-002379_Yugavatara_05b	SivarAjasya netrayoH ASvAsanasya CAyAm dfzwvA saH antimaSvAsam svIkftavAn
sp008-002380_Yugavatara_05b	BagavataH sundaram vigraham nirmAya tasmE vigrahAya Baktim samarpya
sp008-002381_Yugavatara_05b	jIvanasya sArTakyam anuBavan SilpI iva sTitasya dAdAjikoRqadevasya jIvanam Danyam aBavat
sp008-002382_Yugavatara_05b	gamanAt pUrvam svasya antimopAyanarUpeRa svaputram svarAjyasevAyE SivarAjAya samarpitavAn AsIt saH
sp008-002383_Yugavatara_05b	bijApurasya AdeSapatrasya uttararUpeRa iva durgamam
sp008-002384_Yugavatara_05b	koRqARa durgam bijApurasya hastAt cyutam sat SivarAjasya hastagatam aBavat
sp008-002385_Yugavatara_05b	bApUjinAmakaH SivarAjasya padasevakaH ekasmin eva dine raktapAtam vinA eva tat durgam jitavAn
sp008-002386_Yugavatara_05b	kaTam
sp008-002387_Yugavatara_05b	svasya maDurEH vacanEH durgapramuKasya sammohanam kftvA
sp008-002388_Yugavatara_05b	bijApurasya cakravartinaH muKe idAnIm cintAreKA dfSyate sma
sp008-002389_Yugavatara_05b	etadfSyaH vArtAH paNktiSaH tasya karRapaTam AgacCanti sma
sp008-002390_Yugavatara_05b	hyaH SiravaLadurgam hastacyutam jAtam
sp008-002391_Yugavatara_05b	adya suBAnamaNgaladurgam SivarAjADInam jAtam ityAdayaH vArtApravAhAH eva AgatAH
sp008-002392_Yugavatara_05b	SvaH kasya durgasya vaSIkaraRam Bavet iti praSnaH Bavati sma
sp008-002393_Yugavatara_05b	kintu cakravartI kamapi nirRayam na kftavAn
sp008-002394_Yugavatara_05b	saH cintayan eva AsIt
sp008-002395_Yugavatara_05b	tasya cintanasya kAraRam kim
sp008-002396_Yugavatara_05b	cintanam parityajya sEnyam prezayitvA SivarAjasya vidrohasya damanam kartum Sakyam AsIt Kalu
sp008-002397_Yugavatara_05b	GaRwAByantare tat sADayitum saH aSakzyat
sp008-002398_Yugavatara_05b	kintu kimarTam saH taTA na kftavAn
sp008-002399_Yugavatara_05b	tasya cintAyAH kAraRam kim
sp008-002400_Yugavatara_05b	tasya cintayAH kAraRam atyantam prabalam AsIt
sp008-002401_Yugavatara_05b	tat kAraRam AsIt SahAjiH
sp008-002402_Yugavatara_06a	beNgalUrunagare SahAjeH samIpe susajjA caturviMSati sahasra saNKyAmitA senA AsIt
sp008-002403_Yugavatara_06a	atra putrasya virudDam kAryAcaraRam kftam cet tatra pitA karRAwake rAjaviroDam udGozayet
sp008-002404_Yugavatara_06a	tat yaTA na syAt taTA yogyA vyavasTA karaRIyA AsIt tena
sp008-002405_Yugavatara_06a	ataH saH cintayan AsIt
sp008-002406_Yugavatara_06a	tadA eva karRAwake pravAsam kurvARaH aPajalaKAnaH cakravartine ekam patram prezitavAn
sp008-002407_Yugavatara_06a	SahAjiH itarEH hindurAjEH saha svatantrahindurAjyasya sTApanam cintayan asti iti
sp008-002408_Yugavatara_06a	tat satyam api AsIt
sp008-002409_Yugavatara_06a	na kevalam tAvat vijayanagarasya antimasya rAjYaH SrIraNgarAyasya sAhAyyam guptarUpeRa karoti sma api saH
sp008-002410_Yugavatara_06a	tat SrutvA cakravartinaH AtaNkaH itoऽpi pravfdDaH
sp008-002411_Yugavatara_06a	vilambakaraRena kAlahAniH niScitA iti saH avagatavAn
sp008-002412_Yugavatara_06a	ataH saH kutantramekam racitavAn
sp008-002413_Yugavatara_06a	nAsikAgrahaRena muKam udGAwitam Bavati Kalu
sp008-002414_Yugavatara_06a	pitaram gfhItvA AnIya prARaBayam darSayAmaH cet SivarAjaH svayam Agatya SaraRam gataH Bavet iti tasya cintanam
sp008-002415_Yugavatara_06a	tadarTam cakravartI praDAnAya mustAPaKAnAya bAjIGorpaqemahodayAya ca
sp008-002416_Yugavatara_06a	guptasUcanAm samprezya mahatA sEnyena saha karRAwakam prati prezitavAn
sp008-002417_Yugavatara_06a	jiYjIdurgam AkrAntum gacCAvaH iti tO sarvatra vArtAm prasAritavantO
sp008-002418_Yugavatara_06a	mArge tO SahAjeH Sibirasya samIpe viSrAntyarTam sTitavantO
sp008-002419_Yugavatara_06a	sAmrAjyasya praDAnaH mustAPaKAnaH eva AgataH ityataH SahAjiH tasya svAgatArTam gatavAn
sp008-002420_Yugavatara_06a	KAnaH kftrimam prema pradarSayan tasmin viSvAsam utpAdya
sp008-002421_Yugavatara_06a	yadA avasaraH prAptaH tadA tasya upari AkramaRam kftavAn
sp008-002422_Yugavatara_06a	bAjI mustAPaKAnaH ca SahAjim badDvA bijApuram prati AnItavantO
sp008-002423_Yugavatara_06a	tatra aPajalaKAnaH gajasya pfzWataH SfNKalABiH SahAjim badDvA
sp008-002424_Yugavatara_06a	bijApurasya mArge SoBAyAtrAm kArayitvA kArAgfhe sTApitavAn
sp008-002425_Yugavatara_06a	rAjadurge nUtanasya svarAjyasya janmanaH Anandotsave SivarAjAdayaH magnAH Asan
sp008-002426_Yugavatara_06a	tadA ezA vArtA AgatA
sp008-002427_Yugavatara_06a	tAm SrutvA jIjAbAyI SivarAjaH itare marAWavIrAH ca stabDAH aBavan
sp008-002428_Yugavatara_06a	tataHpUrvam ye bijApurasya kArAgfhe Asan tEH anuBUtAm durgatim smftvA jIjAbAyI vizaRRA aBavat
sp008-002429_Yugavatara_06a	viDeH krUrahastaH tasyAH maNgalasUtram spfSan AsIt
sp008-002430_Yugavatara_06a	na kevalam tAvat rAjadurgam prati anizwakArivArtAnAm paramparARAm eva Agamanam ArabDam
sp008-002431_Yugavatara_06a	SivarAjasya agrajaH samBAjiH beNgalUrunagare AsIt
sp008-002432_Yugavatara_06a	tasya upari AkramaRam kartum bijApurataH ParrAdaKAnaH sasEnyam prasTitavAn AsIt
sp008-002433_Yugavatara_06a	aparatra SivarAjasya banDanArTam PatteKAnaH mahatA sEnyena saha AgacCan AsIt
sp008-002434_Yugavatara_06a	yugapat eva Bosalekulasya mUlotpAwanAya ASritA apUrvA yojanA
sp008-002435_Yugavatara_06a	aho GorA vipat sannihitA
sp008-002436_Yugavatara_06a	svarAjyaSiSum kavalIkartum vipannAmakaH vetAlaH muKam udGAwya sTitavAn AsIt
sp008-002437_Yugavatara_06a	pitA AvaSyakaH uta svarAjyam ityezaH GoraH praSnaH AsIt SivarAjasya sammuKe
sp008-002438_Yugavatara_06a	rAjadurge sTitAH sarve kiYcitkAlam diNmUQAH aBavan
sp008-002439_Yugavatara_06a	tAvatA PatteKAnaH samIpam AgacCan asti iti vArtA AgatA
sp008-002440_Yugavatara_06a	cintanArTam samayaH eva na AsIt
sp008-002441_Yugavatara_06a	SivarAjaH nirRayam kftavAn SaraRAgatiH tu nEva SakyA
sp008-002442_Yugavatara_06a	yudDadvArA eva nirRayaH Bavatu iti
sp008-002443_Yugavatara_06a	tataH saH yudDasannAham ArabDavAn
sp008-002444_Yugavatara_06a	kintu tasya samIpe vidyamAnam sEnyam vA kiyat
sp008-002445_Yugavatara_06a	sahasrajanAtmakam syAt
sp008-002446_Yugavatara_06a	kadAcit dviSatena aDikam syAdapi
sp008-002447_Yugavatara_06a	SastrARAm durBikzam tu kaTanayogyam nEva
sp008-002448_Yugavatara_06a	purandaradurge sTitvA PatteKAnasya sammuKIkaraRam iti SivarAjaH niScitavAn
sp008-002449_Yugavatara_06a	niScayastu kftaH
sp008-002450_Yugavatara_06a	kintu tat durgam kasya aDInam AsIt
sp008-002451_Yugavatara_06a	kim SivarAjasya aDInam nEva
sp008-002452_Yugavatara_06a	bijApurasya cakravartinaH aDInam
sp008-002453_Yugavatara_06b	SivarAjasya kAryaSElI eva viSizwA
sp008-002454_Yugavatara_06b	purandaradurgasya vfdDaH pAlakaH mahadAjinIlakaRWarAvaH saranAyakaH SahAjeH mitram
sp008-002455_Yugavatara_06b	mitrasya putrasya apratimena sAhasena praBAvitaH saH praSaMsAm api kftavAn AsIt
sp008-002456_Yugavatara_06b	tasya vfdDasya aBimAnaH eva SivarAjasya mUlaDanam
sp008-002457_Yugavatara_06b	svasya laGunA sEnyena saha SivarAjaH durgasya mUlam gatavAn
sp008-002458_Yugavatara_06b	pitfvya ApatsTitO smaH
sp008-002459_Yugavatara_06b	durge ASrayam dattvA rakzatu iti saH prArTitavAn
sp008-002460_Yugavatara_06b	taTAstu iti uktavAn mahadAjiH
sp008-002461_Yugavatara_06b	samagram AyuH bijApurasya sevayA eva yApitavataH tasya vfdDasya api SiraH BrAntam AsIt
sp008-002462_Yugavatara_06b	mahadAjiH svasya hfdayam udGAwayan durgasya dvAram api udGAwitavAn
sp008-002463_Yugavatara_06b	sajjaH BUtvA bahiH sTitaH SivarAjaH sasEnyam antaH praviSya sannAham ArabDavAn
sp008-002464_Yugavatara_06b	SivarAjasya tanmitrARAm ca SOryasya yudDakOSalasya ca praTamA agniparIkzA sA
sp008-002465_Yugavatara_06b	SivarAjaH sahacAriRaH uddiSya sPUrtidAyakam AveSapUrRam ca BAzaRam kftavAn
sp008-002466_Yugavatara_06b	tezAm hfdaye vidyamAnAyAm nizWAjvAlAyAm tElam arpitavAn
sp008-002467_Yugavatara_06b	sarvezAm rakte raRotsAhaH udgacCati sma
sp008-002468_Yugavatara_06b	SivarAjaH sarveByaH kAryam vitIrRavAn
sp008-002469_Yugavatara_06b	tasyAm samaraparIkzAyAm sarveऽpi advitIyarUpeRa uttIrRAH
sp008-002470_Yugavatara_06b	SiravaLasya yudDe purandarayudDe cApi bijApurasEnyam udDvastam aBavat
sp008-002471_Yugavatara_06b	PatteKAnaH parAjitaH BUtvA palAyanam kftavAn
sp008-002472_Yugavatara_06b	museKAnanAmakam BImaparAkramam nAyakam svarAjyasya kiSorAH KaRqaSaH kartitavantaH
sp008-002473_Yugavatara_06b	etat sarvam azwacatvAriMSaduttarazoqaSatame varze AgaswmAse pravfttam
sp008-002474_Yugavatara_06b	tadA SivarAjaH AsIt azwAdaSavarzIyaH
sp008-002475_Yugavatara_06b	asmin yudDe SivarAjena ekaH AGAtaH sammuKIkaraRIyaH aBavat
sp008-002476_Yugavatara_06b	tasya dakziRahastatvena KyAtaH bAjipAsalakaraH raRadevyE praTamAhutitvena arpitaH aBavat asmin yudDe
sp008-002477_Yugavatara_06b	sahyAdriparvataSreRyA prItyA vikAsitezu hfdayakamalezu anyatamam etat kamalam svarAjyadevatAyAH padatale arpitam aBavat
sp008-002478_Yugavatara_06b	PatteKAnasya parAjayasya samanantarameva beNgalUrutaH api Anandasya vArtA AgatA
sp008-002479_Yugavatara_06b	agrajaH samBAjiH api ParrAdaKAnasya sEnyam DUlisAt kftavAn iti
sp008-002480_Yugavatara_06b	itaHparam SahAjirAjasya vimocanamAtram avaSizwam AsIt
sp008-002481_Yugavatara_06b	putrayoH vizaye sTitaH pratIkAraBAvaH pitari Bavati cet
sp008-002482_Yugavatara_06b	SivarAjaH cintAmagnaH aBavat
sp008-002483_Yugavatara_06b	tanmaDye tasya budDibalam api kAryam akarot
sp008-002484_Yugavatara_06b	anukzaRam saH dehalIsTAya mogalacakravartine SahAjahAnAya ekam patram liKitavAn
sp008-002485_Yugavatara_06b	mama tIrTarUpI pitA aham ca BavataH siMhAsanasya sevAm kartum utsukO svaH
sp008-002486_Yugavatara_06b	BavataH anujYAm pratIkzamARaH asmi aham
sp008-002487_Yugavatara_06b	kintu bijApurasya rAjA kApawyena mama pitaram kArAgfhe sTApitavAn asti
sp008-002488_Yugavatara_06b	tasya vimocanAnantaram AvAm BavataH sevAyE upasTitO BavizyAvaH iti AsIt tasya patrasya ASayaH
sp008-002489_Yugavatara_06b	tadA SivarAjaH viMSativarzIyaH api nAsIt
sp008-002490_Yugavatara_06b	tasya rAjanItikuSalatA tAvat anupamA eva
sp008-002491_Yugavatara_06b	aPajalaKAnaH SahAjirAjam gajasya pfzWataH badDvA bijApurasya mArgezu SoBAyAtrAm kArayitvA
sp008-002492_Yugavatara_06b	kArAgfhe sTApitavAn AsIt Kalu
sp008-002493_Yugavatara_06b	itaHparam aham na jIvAmi iti SahAjirAjaH niScitavAn AsIt
sp008-002494_Yugavatara_06b	tAvati kAle dehalIsTAya cakravartine SivarAjaH guptarUpeRa patram liKitavAn asti
sp008-002495_Yugavatara_06b	iti vArtA kaTaYcit bijApuraSAsakasya karRapaTam AgatA
